"Economy","Code","Region","Income group","Lending category","Other (EMU or HIPC)","region_code_all","region_code_no_high","region_code"
"Aruba","ABW","Latin America & Caribbean","High income",NA,NA,"LCN",NA,"LAC"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","SAS",NA,"SAR"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"SSF","SSA","SSA"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"ECS","ECA","ECA"
"Andorra","AND","Europe & Central Asia","High income",NA,NA,"ECS",NA,"ECA"
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"MEA",NA,"MNA"
"Argentina","ARG","Latin America & Caribbean","Upper middle income","IBRD",NA,"LCN","LAC","LAC"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"ECS","ECA","ECA"
"American Samoa","ASM","East Asia & Pacific","Upper middle income",NA,NA,"EAS","EAP","EAP"
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income","IBRD",NA,"LCN",NA,"LAC"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"EAS",NA,"EAP"
"Austria","AUT","Europe & Central Asia","High income",NA,"EMU","ECS",NA,"ECA"
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income","IBRD",NA,"ECS","ECA","ECA"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","SSF","SSA","SSA"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","ECS",NA,"ECA"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","SSF","SSA","SSA"
"Burkina Faso","BFA","Sub-Saharan Africa","Low income","IDA","HIPC","SSF","SSA","SSA"
"Bangladesh","BGD","South Asia","Lower middle income","IDA",NA,"SAS",NA,"SAR"
"Bulgaria","BGR","Europe & Central Asia","Upper middle income","IBRD",NA,"ECS","ECA","ECA"
"Bahrain","BHR","Middle East & North Africa","High income",NA,NA,"MEA",NA,"MNA"
"Bahamas, The","BHS","Latin America & Caribbean","High income",NA,NA,"LCN",NA,"LAC"
"Bosnia and Herzegovina","BIH","Europe & Central Asia","Upper middle income","IBRD",NA,"ECS","ECA","ECA"
"Belarus","BLR","Europe & Central Asia","Upper middle income","IBRD",NA,"ECS","ECA","ECA"
"Belize","BLZ","Latin America & Caribbean","Upper middle income","IBRD",NA,"LCN","LAC","LAC"
"Bermuda","BMU","North America","High income",NA,NA,"NAC",NA,"NAR"
"Bolivia","BOL","Latin America & Caribbean","Lower middle income","IBRD","HIPC","LCN","LAC","LAC"
"Brazil","BRA","Latin America & Caribbean","Upper middle income","IBRD",NA,"LCN","LAC","LAC"
"Barbados","BRB","Latin America & Caribbean","High income",NA,NA,"LCN",NA,"LAC"
"Brunei Darussalam","BRN","East Asia & Pacific","High income",NA,NA,"EAS",NA,"EAP"
"Bhutan","BTN","South Asia","Lower middle income","IDA",NA,"SAS",NA,"SAR"
"Botswana","BWA","Sub-Saharan Africa","Upper middle income","IBRD",NA,"SSF","SSA","SSA"
"Central African Republic","CAF","Sub-Saharan Africa","Low income","IDA","HIPC","SSF","SSA","SSA"
"Canada","CAN","North America","High income",NA,NA,"NAC",NA,"NAR"
"Switzerland","CHE","Europe & Central Asia","High income",NA,NA,"ECS",NA,"ECA"
"Channel Islands","CHI","Europe & Central Asia","High income",NA,NA,"ECS",NA,"ECA"
"Chile","CHL","Latin America & Caribbean","High income","IBRD",NA,"LCN",NA,"LAC"
"China","CHN","East Asia & Pacific","Upper middle income","IBRD",NA,"EAS","EAP","EAP"
"Côte d’Ivoire","CIV","Sub-Saharan Africa","Lower middle income","IDA","HIPC","SSF","SSA","SSA"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","Blend","HIPC","SSF","SSA","SSA"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","SSF","SSA","SSA"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","SSF","SSA","SSA"
"Colombia","COL","Latin America & Caribbean","Upper middle income","IBRD",NA,"LCN","LAC","LAC"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","SSF","SSA","SSA"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"SSF","SSA","SSA"
"Costa Rica","CRI","Latin America & Caribbean","Upper middle income","IBRD",NA,"LCN","LAC","LAC"
"Cuba","CUB","Latin America & Caribbean","Upper middle income",NA,NA,"LCN","LAC","LAC"
"Curaçao","CUW","Latin America & Caribbean","High income",NA,NA,"LCN",NA,"LAC"
"Cayman Islands","CYM","Latin America & Caribbean","High income",NA,NA,"LCN",NA,"LAC"
"Cyprus","CYP","Europe & Central Asia","High income",NA,"EMU","ECS",NA,"ECA"
"Czech Republic","CZE","Europe & Central Asia","High income",NA,NA,"ECS",NA,"ECA"
"Germany","DEU","Europe & Central Asia","High income",NA,"EMU","ECS",NA,"ECA"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"MEA","MNA","MNA"
"Dominica","DMA","Latin America & Caribbean","Upper middle income","Blend",NA,"LCN","LAC","LAC"
"Denmark","DNK","Europe & Central Asia","High income",NA,NA,"ECS",NA,"ECA"
"Dominican Republic","DOM","Latin America & Caribbean","Upper middle income","IBRD",NA,"LCN","LAC","LAC"
"Algeria","DZA","Middle East & North Africa","Lower middle income","IBRD",NA,"MEA","MNA","MNA"
"Ecuador","ECU","Latin America & Caribbean","Upper middle income","IBRD",NA,"LCN","LAC","LAC"
"Egypt, Arab Rep.","EGY","Middle East & North Africa","Lower middle income","IBRD",NA,"MEA","MNA","MNA"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","SSF","SSA","SSA"
"Spain","ESP","Europe & Central Asia","High income",NA,"EMU","ECS",NA,"ECA"
"Estonia","EST","Europe & Central Asia","High income",NA,"EMU","ECS",NA,"ECA"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","SSF","SSA","SSA"
"Finland","FIN","Europe & Central Asia","High income",NA,"EMU","ECS",NA,"ECA"
"Fiji","FJI","East Asia & Pacific","Upper middle income","Blend",NA,"EAS","EAP","EAP"
"France","FRA","Europe & Central Asia","High income",NA,"EMU","ECS",NA,"ECA"
"Faroe Islands","FRO","Europe & Central Asia","High income",NA,NA,"ECS",NA,"ECA"
"Micronesia, Fed. Sts.","FSM","East Asia & Pacific","Lower middle income","IDA",NA,"EAS","EAP","EAP"
"Gabon","GAB","Sub-Saharan Africa","Upper middle income","IBRD",NA,"SSF","SSA","SSA"
"United Kingdom","GBR","Europe & Central Asia","High income",NA,NA,"ECS",NA,"ECA"
"Georgia","GEO","Europe & Central Asia","Upper middle income","IBRD",NA,"ECS","ECA","ECA"
"Ghana","GHA","Sub-Saharan Africa","Lower middle income","IDA","HIPC","SSF","SSA","SSA"
"Gibraltar","GIB","Europe & Central Asia","High income",NA,NA,"ECS",NA,"ECA"
"Guinea","GIN","Sub-Saharan Africa","Low income","IDA","HIPC","SSF","SSA","SSA"
"Gambia, The","GMB","Sub-Saharan Africa","Low income","IDA","HIPC","SSF","SSA","SSA"
"Guinea-Bissau","GNB","Sub-Saharan Africa","Low income","IDA","HIPC","SSF","SSA","SSA"
